othercountry,otherstate,othercity
Western,Colombo,Colombo
Western,Colombo,Dehiwala-Mount Lavinia
Western,Colombo,Sri Jayawardenepura Kotte
Western,Colombo,Kaduwela
Western,Colombo,Moratuwa
Western,Gampaha
North Western,Kurunegala,Kurunegala
Central,Kandy,Kandy
Central,Matale,Matale
Central,Matale,Dambulla
Central,Nuwara Eliya,Nuwara Eliya
Uva,Badulla,Badulla
Uva,Badulla,Bandarawela
Southern,Galle,Galle
Southern,Matara,Matara
Southern,Hambantota,Hambantota
Sabaragamuwa,Ratnapura,Ratnapura
North Central,Anuradhapura,Anuradhapura
Northern,Jaffna,Jaffna
Eastern,Batticaloa,Batticaloa
Eastern,Ampara,Kalmunai
Eastern,Ampara,Akkaraipattu
Southern,Galle,Ambalangoda
Eastern,Ampara,Ampara
Sabaragamuwa,Ratnapura,Balangoda
Western,Kalutara,Beruwala
Western,Colombo,Boralesgamuwa
Northern,Jaffna,Chavakachcheri
North Western,Puttalam,Chilaw
Sabaragamuwa,Ratnapura,Embilipitiya
Eastern,Batticaloa,Eravur
Central,Kandy,Gampola
Uva,Badulla,Haputale
Central,Nuwara Eliya,Hatton-Dickoya
Southern,Galle,Hikkaduwa
Western,Kalutara,Horana
Central,Kandy,Kadugannawa
Western,Kalutara,Kalutara
Eastern,Batticaloa,Kattankudi
Sabaragamuwa,Kegalle,Kegalle
Western,Colombo,Kesbewa
Eastern,Trincomalee,Kinniya
Western,Colombo,Kolonnawa
North Western,Kurunegala,Kuliyapitiya
Western,Colombo,Maharagama
Northern,Mannar,Mannar
Central,Kandy,Nawalapitiya
Western,Kalutara,Panadura
Western,Colombo,Peliyagoda
Northern,Jaffna,Point Pedro
North Western,Puttalam,Puttalam
Western,Colombo,Seethawakapura
Southern,Hambantota,Tangalle
Central,Nuwara Eliya,Talawakele-Lindula
Eastern,Trincomalee,Trincomalee
Northern,Jaffna,Valvettithurai
Northern,Vavuniya,Vavuniya
Central,Kandy,Wattegama
Southern,Matara,Weligama
